feature,gain,split
PREV_Cash_APPLICATION_CREDIT_DIFF_VAR,6856.07953042984,346.6
HOUR_APPR_DIFFERENCE,6795.401724815369,375.8
BUREAU_LAST36M_AMT_CREDIT_SUM_DEBT_MEAN,6779.600013923645,333.0
INS_36M_AMT_INSTALMENT_MIN,6778.364382839203,345.6
INS_AMT_INSTALMENT_SUM,6740.329687786102,292.4
BUREAU_CREDIT_AMT_CREDIT_SUM_MAX,6732.782952690124,361.2
BUREAU_AMT_CREDIT_SUM_SUM,6729.307490062713,328.2
BUREAU_LAST6M_DEBT_PERCENTAGE_MEAN,6725.610429286957,279.2
PREV_NAME_TYPE_SUITE_Unaccompanied_MEAN,6680.190567684173,378.8
BUREAU_ACTIVE_AMT_CREDIT_MAX_OVERDUE_MAX,6658.263362693787,267.4
BUREAU_CREDIT_ACTIVE_Closed_MEAN,6626.87604675293,247.2
INS_36M_DAYS_ENTRY_PAYMENT_MAX,6608.733524036407,340.0
PREV_Consumer_DAYS_DECISION_MAX,6605.313729572296,343.2
REFUSED_AMT_CREDIT_MIN,6558.409383392334,314.6
GROUP1_ANNUITY_STD,6534.892784881592,320.2
BUREAU_CONSUMER_AMT_CREDIT_MAX_OVERDUE_MEAN,6519.370979690551,288.4
PREV_Consumer_CNT_PAYMENT_MEAN,6495.104432106018,338.6
PREV_Cash_APPLICATION_CREDIT_DIFF_MIN,6487.195371627808,307.4
INS_36M_DBD_MAX,6469.25053024292,334.2
PREV_Consumer_APPLICATION_CREDIT_RATIO_MAX,6468.841260910034,302.4
BUREAU_LAST36M_AMT_CREDIT_SUM_MAX,6452.908198642731,323.6
INS_DAYS_ENTRY_PAYMENT_MAX,6424.955694770813,325.2
INS_18M_SIGNIFICANT_LATE_PAYMENT_MEAN,6414.013209724426,234.8
BUREAU_AMT_CREDIT_SUM_DEBT_MEAN,6413.10378742218,283.4
BUREAU_AMT_CREDIT_SUM_MAX,6386.749335670471,310.8
INS_36M_AMT_PAYMENT_SUM,6381.211971282959,277.6
APPROVED_DAYS_LAST_DUE_DIFF_MEAN,6381.067690086365,329.0
APPROVED_APPLICATION_CREDIT_RATIO_MEAN,6370.4712404251095,335.6
CTAR_APPROVED_CNT_PAYMENT_MEAN_MEDIAN,6361.99301815033,333.2
BUREAU_LAST6M_AMT_CREDIT_SUM_SUM,6361.743237495422,320.6
INS_36M_AMT_INSTALMENT_MAX,6333.237452602387,304.2
PREV_LAST24M_AMT_CREDIT_SUM,6322.775334644318,327.0
PREV_Cash_APPLICATION_CREDIT_RATIO_MIN,6317.235473060608,276.8
APPROVED_AMT_ANNUITY_MIN,6297.444206619262,328.2
PREV_LAST12M_DAYS_DECISION_MIN,6290.37408618927,351.0
APPROVED_SIMPLE_INTERESTS_MEAN,6279.212658023835,278.2
GROUP1_INCOME_STD,6258.516932010651,337.4
INS_18M_AMT_INSTALMENT_MAX,6247.928232383728,315.6
PREV_APPLICATION_CREDIT_DIFF_MEAN,6226.860168933868,319.2
BUREAU_CONSUMER_AMT_CREDIT_MAX_OVERDUE_MAX,6212.6044641494755,279.6
INS_36M_SIGNIFICANT_LATE_PAYMENT_MEAN,6201.371939849853,227.4
PREV_Cash_APPLICATION_CREDIT_RATIO_MEAN,6198.224736785889,287.4
INS_SK_ID_PREV_SIZE,6191.373411369324,297.8
CC_LIMIT_USE_MEAN,6149.058046150208,204.6
APPROVED_DAYS_LAST_DUE_DIFF_MIN,6147.003734016418,304.0
APPROVED_CREDIT_TO_ANNUITY_RATIO_MEAN,6123.781991577149,306.6
PREV_LAST24M_AMT_ANNUITY_MEAN,6116.978210639953,327.4
PREV_AMT_ANNUITY_MEAN,6103.66212348938,337.6
PREV_LAST24M_APPLICATION_CREDIT_DIFF_MIN,6091.5744354248045,290.8
